plotNo	moisture	growth
1	m01	1.3
2	m01	1.5
3	m01	1.5
4	m01	1.6
5	m01	1.4
6	m01	1.6
7	m01	1.5
8	m01	1.6
9	m02	1.7
10	m02	1.9
11	m02	1.8
12	m02	1.7
13	m02	1.5
14	m02	1.6
15	m02	1.7
16	m02	1.7
17	m03	1.6
18	m03	1.5
19	m03	1.8
20	m03	1.9
21	m03	1.8
22	m03	1.7
23	m03	1.7
24	m03	1.8
25	m04	1.9
26	m04	2.0
27	m04	1.8
28	m04	1.8
29	m04	2.0
30	m04	1.9
31	m04	2.2
32	m04	2.1
33	m05	2.0
34	m05	2.2
35	m05	2.2
36	m05	2.4
37	m05	2.2
38	m05	2.2
39	m05	2.1
40	m05	2.4
41	m06	2.0
42	m06	2.0
43	m06	2.2
44	m06	2.3
45	m06	1.9
46	m06	2.1
47	m06	2.2
48	m06	2.4
49	m07	2.3
50	m07	2.1
51	m07	2.0
52	m07	2.4
53	m07	2.2
54	m07	2.4
55	m07	2.2
56	m07	2.0
57	m08	2.1
58	m08	2.1
59	m08	2.0
60	m08	2.3
61	m08	2.4
62	m08	2.0
63	m08	2.3
64	m08	2.2
65	m09	2.0
66	m09	2.2
67	m09	2.4
68	m09	2.2
69	m09	2.2
70	m09	2.3
71	m09	2.1
72	m09	1.8
73	m10	2.1
74	m10	1.9
75	m10	1.9
76	m10	2.1
77	m10	1.8
78	m10	2.1
79	m10	2.0
80	m10	1.9
