"DAY" "Date" "Radiation" "MinTemp" "MaxTemp" "MeanTemp"
1 "01.01.1996" 1.9968 0.3 2.6 1.45
2 "02.01.1996" 2.1911 -0.9 2.1 0.6
3 "03.01.1996" 0.7564 -0.5 0.9 0.2
4 "04.01.1996" 4.3056 -0.9 1.1 0.1
5 "05.01.1996" 3.8569 0 3.6 1.8
6 "06.01.1996" 1.3625 -5.5 -1.6 -3.55
7 "07.01.1996" 1.2501 -1.5 4 1.25
8 "08.01.1996" 1.666 -0.7 5.1 2.2
9 "09.01.1996" 0.8972 3.6 5.5 4.55
10 "10.01.1996" 0.9756 1.8 5.2 3.5
11 "11.01.1996" 2.3876 1.6 5.4 3.5
12 "12.01.1996" 1.5782 5 9.2 7.1
13 "13.01.1996" 3.7426 1.3 9.8 5.55
14 "14.01.1996" 3.2616 0.6 4.3 2.45
15 "15.01.1996" 3.145 0.9 3.5 2.2
16 "16.01.1996" 3.4255 0.8 2.8 1.8
17 "17.01.1996" 2.2313 -0.8 0.7 -0.05
18 "18.01.1996" 4.1902 -0.3 1.8 0.75
19 "19.01.1996" 2.4833 -2.3 -0.5 -1.4
20 "20.01.1996" 1.1967 0.1 2.3 1.2
21 "21.01.1996" 3.2901 -0.3 1.4 0.55
22 "22.01.1996" 4.8016 -2.2 2.2 0
23 "23.01.1996" 3.8129 -4.3 0 -2.15
24 "24.01.1996" 3.7478 -3 0.1 -1.45
25 "25.01.1996" 1.6735 -7.2 -2.8 -5
26 "26.01.1996" 1.6425 -8.6 -6 -7.3
27 "27.01.1996" 2.5841 -5.8 -0.2 -3
28 "28.01.1996" 3.1556 -4.7 -2.1 -3.4
29 "29.01.1996" 3.8414 -3.5 1.8 -0.85
30 "30.01.1996" 6.2841 -6.7 2.5 -2.1
31 "31.01.1996" 7.708 -9 5.5 -1.75
32 "01.02.1996" 7.0414 -10.4 0.3 -5.05
33 "02.02.1996" 1.213 -7.9 -0.2 -4.05
34 "03.02.1996" 3.5083 -2.6 0.1 -1.25
35 "04.02.1996" 3.8029 -5.3 -0.8 -3.05
36 "05.02.1996" 5.302 -6.8 0.1 -3.35
37 "06.02.1996" 7.8171 -6.7 -0.7 -3.7
38 "07.02.1996" 4.529 -7.8 -2.2 -5
39 "08.02.1996" 4.8268 -5.3 -1.8 -3.55
40 "09.02.1996" 5.6508 -4.6 3.8 -0.4
41 "10.02.1996" 5.9202 -0.1 6.1 3
42 "11.02.1996" 4.2469 0.4 5.4 2.9
43 "12.02.1996" 1.0174 1.4 5 3.2
44 "13.02.1996" 0.9868 0.3 1.8 1.05
45 "14.02.1996" 1.0964 0 1.5 0.75
46 "15.02.1996" 3.6387 -0.8 0.3 -0.25
47 "16.02.1996" 1.0695 0.1 6.5 3.3
48 "17.02.1996" 4.2236 2.8 6.2 4.5
49 "18.02.1996" 2.5239 2.5 5.3 3.9
50 "19.02.1996" 3.3029 0.9 5.3 3.1
51 "20.02.1996" 2.0517 -3 1.9 -0.55
52 "21.02.1996" 4.3937 -5.8 -2.7 -4.25
53 "22.02.1996" 6.8771 -5.9 -1 -3.45
54 "23.02.1996" 9.0721 -7.9 0.8 -3.55
55 "24.02.1996" 4.1767 -2.5 4.4 0.95
56 "25.02.1996" 3.4869 3.8 11.5 7.65
57 "26.02.1996" 9.0013 5 13.4 9.2
58 "27.02.1996" 4.7361 4.6 7.6 6.1
59 "28.02.1996" 3.8339 2.1 7.7 4.9
60 "29.02.1996" 2.5701 -0.9 3.1 1.1
61 "01.03.1996" 2.1363 0 2.8 1.4
62 "02.03.1996" 8.0071 -1.5 2.9 0.7
63 "03.03.1996" 8.1406 -1.5 4.3 1.4
64 "04.03.1996" 7.8091 -4 5.5 0.75
65 "05.03.1996" 2.6808 1.4 5.6 3.5
66 "06.03.1996" 2.8824 0.4 4.9 2.65
67 "07.03.1996" 4.1737 1.6 5.1 3.35
68 "08.03.1996" 12.249 -0.5 7.7 3.6
69 "09.03.1996" 13.5374 -0.9 7.4 3.25
70 "10.03.1996" 12.8415 -1.7 8.6 3.45
71 "11.03.1996" 5.9843 -4.5 0.3 -2.1
72 "12.03.1996" 13.5882 -5.6 1.2 -2.2
73 "13.03.1996" 12.1643 -5.9 0.8 -2.55
74 "14.03.1996" 13.1526 -4.1 7.1 1.5
75 "15.03.1996" 12.9067 0.5 13.6 7.05
76 "16.03.1996" 9.468 0.8 9.7 5.25
77 "17.03.1996" 3.5178 3.9 8 5.95
78 "18.03.1996" 3.8196 3.6 8.1 5.85
79 "19.03.1996" 8.992 -0.1 11.2 5.55
80 "20.03.1996" 11.5619 4.7 14.1 9.4
81 "21.03.1996" 8.2178 6 14.4 10.2
82 "22.03.1996" 3.2052 5.6 10.4 8
83 "23.03.1996" 2.5743 6.3 14.1 10.2
84 "24.03.1996" 5.3453 5.5 11.5 8.5
85 "25.03.1996" 12.8837 2.8 10.9 6.85
86 "26.03.1996" 2.9343 2.3 8.3 5.3
87 "27.03.1996" 17.6572 -1.9 7 2.55
88 "28.03.1996" 15.9267 -4 7.2 1.6
89 "29.03.1996" 8.3362 0.7 6.8 3.75
90 "30.03.1996" 8.3414 0 4.4 2.2
91 "31.03.1996" 9.5802 -1.1 4.5 1.7
92 "01.04.1996" 16.7497 -0.8 5.7 2.45
93 "02.04.1996" 13.8496 -2.5 5.6 1.55
94 "03.04.1996" 15.2015 -1.3 7.9 3.3
95 "04.04.1996" 7.1071 1.7 6.9 4.3
96 "05.04.1996" 12.9185 3.8 12.6 8.2
97 "06.04.1996" 16.0867 5.3 17.7 11.5
98 "07.04.1996" 14.1918 2.5 15 8.75
99 "08.04.1996" 3.9065 4 9.1 6.55
100 "09.04.1996" 14.9665 5.3 16.6 10.95
101 "10.04.1996" 18.3864 5.4 17.1 11.25
102 "11.04.1996" 2.3389 6 11.6 8.8
103 "12.04.1996" 15.4496 2.4 9.7 6.05
104 "13.04.1996" 20.4535 -0.1 10.7 5.3
